epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,16264.6,0.35351,0.48452,0.95794,0.93343,0.92506,0.95583,0.90772,0.32068,0.3304,0.92242,0.001684,0.001684,0.001684
170,16359.5,0.3475,0.47661,0.95624,0.93281,0.92553,0.95575,0.9076,0.32063,0.33031,0.92236,0.0016345,0.0016345,0.0016345
171,16456.4,0.35342,0.48436,0.95833,0.93274,0.92554,0.95582,0.90783,0.32059,0.33031,0.92229,0.001585,0.001585,0.001585
172,16551.1,0.35013,0.47745,0.95758,0.93169,0.926,0.95582,0.90763,0.32058,0.33033,0.92225,0.0015355,0.0015355,0.0015355
173,16646.7,0.35199,0.4774,0.95923,0.93136,0.92614,0.95584,0.90776,0.32051,0.33044,0.92221,0.001486,0.001486,0.001486
174,16743.6,0.34938,0.47425,0.95735,0.93216,0.92523,0.95587,0.90797,0.3205,0.33032,0.92219,0.0014365,0.0014365,0.0014365
175,16839.2,0.3492,0.48115,0.96001,0.93186,0.92516,0.95576,0.90789,0.32043,0.33041,0.92216,0.001387,0.001387,0.001387
176,16934.4,0.34675,0.47027,0.95456,0.93371,0.92394,0.95576,0.90759,0.32042,0.33037,0.92215,0.0013375,0.0013375,0.0013375
177,17031.1,0.34517,0.47146,0.9539,0.93304,0.92409,0.95577,0.90763,0.3204,0.3307,0.92214,0.001288,0.001288,0.001288
178,17126.1,0.34252,0.46294,0.95351,0.93224,0.92417,0.9558,0.90782,0.32037,0.33067,0.92212,0.0012385,0.0012385,0.0012385
179,17220.8,0.34414,0.45666,0.95384,0.93208,0.92453,0.95588,0.90785,0.32033,0.33046,0.92208,0.001189,0.001189,0.001189
180,17317.9,0.34591,0.47217,0.95394,0.93164,0.92476,0.95584,0.90783,0.32025,0.33029,0.92203,0.0011395,0.0011395,0.0011395
181,17413.6,0.34007,0.45482,0.94939,0.93275,0.92409,0.95575,0.90779,0.32021,0.33028,0.92202,0.00109,0.00109,0.00109
182,17508.5,0.34395,0.45352,0.95309,0.93234,0.92437,0.95582,0.90777,0.32025,0.33013,0.92199,0.0010405,0.0010405,0.0010405
183,17605.3,0.34162,0.45934,0.95303,0.93184,0.92461,0.95577,0.90778,0.32021,0.33009,0.92192,0.000991,0.000991,0.000991
